,City,Lat,Lng,Temp Max,Humidity,Cloudiness,Wind Speed,Country,Date
39,Hobart,-42.88,147.33,55.4,71,75,4.7,AU,1603975462
40,Avarua,-21.21,-159.78,69.8,94,100,1.12,CK,1603975606
41,Nome,64.5,-165.41,26.6,92,90,5.82,US,1603975606
42,Chapais,49.78,-74.85,21.2,79,90,5.82,CA,1603975607
43,Butaritari,3.07,172.79,81.61,76,100,8.86,KI,1603975607
44,Kabare,-2.47,28.82,70.2,79,98,3.13,CD,1603975607
45,Qaanaaq,77.48,-69.36,5.63,74,0,6.24,GL,1603975607
46,San Patricio,28.02,-97.52,52.0,93,1,6.93,US,1603975607
47,Meulaboh,4.14,96.13,79.63,82,100,3.87,ID,1603975607
48,Two Rivers,44.15,-87.57,39.99,86,90,11.41,US,1603975563
49,Twistringen,52.8,8.65,53.6,71,75,19.46,DE,1603975607
50,Hofn,64.25,-15.21,44.6,81,90,14.99,IS,1603975608
51,Bandarbeyla,9.49,50.81,81.23,69,35,13.04,SO,1603975608
52,Thompson,55.74,-97.86,8.6,92,90,5.19,CA,1603975608
53,Sitka,57.05,-135.33,42.8,81,90,5.82,US,1603975608
54,Tasiilaq,65.61,-37.64,33.8,40,75,13.87,GL,1603975608
55,Port Lincoln,-34.73,135.87,56.46,80,63,20.83,AU,1603975396
56,Menongue,-14.66,17.69,83.43,36,65,2.13,AO,1603975609
57,Andenes,69.31,16.12,37.99,64,75,17.22,NO,1603975609
58,Hamilton,39.18,-84.53,52.0,93,90,16.11,US,1603975514
59,Manzhouli,49.6,117.43,30.76,88,24,5.01,CN,1603975609
60,Lompoc,34.64,-120.46,46.4,65,1,3.36,US,1603975496
61,Calabozo,8.92,-67.43,81.01,80,100,4.45,VE,1603975609
62,Korla,41.76,86.15,49.17,46,97,2.42,CN,1603975610
63,Marabu,4.41,114.01,80.6,88,20,3.36,MY,1603975565
64,Mahébourg,-20.41,57.7,72.0,73,44,11.99,MU,1603975610
65,Broome,42.25,-75.83,44.01,93,90,3.4,US,1603975610
66,Mount Gambier,-37.83,140.77,53.6,93,90,12.75,AU,1603975610
67,Tutóia,-2.76,-42.27,86.97,59,15,14.41,BR,1603975611
68,Bluff,-46.6,168.33,53.01,91,73,3.0,NZ,1603975611
69,Port Alfred,-33.59,26.89,76.12,59,100,8.97,ZA,1603975611
70,Qaqortoq,60.72,-46.03,30.2,80,75,1.12,GL,1603975611
71,Mataura,-46.19,168.86,53.01,91,63,3.0,NZ,1603975611
72,Punta Arenas,-53.15,-70.92,48.2,57,40,38.03,CL,1603975611
73,Vanimo,-2.67,141.3,80.04,83,100,6.17,PG,1603975612
74,Atherton,53.52,-2.49,54.0,91,100,4.0,GB,1603975612
75,Souillac,-20.52,57.52,72.0,73,52,11.99,MU,1603975612
76,Kiryat Gat,31.61,34.76,82.0,19,33,1.01,IL,1603975612
77,Longyearbyen,78.22,15.64,21.2,62,20,19.46,SJ,1603975612
78,Ribeira Grande,38.52,-28.7,69.8,94,75,19.46,PT,1603975613
79,Zhigansk,66.77,123.37,-11.67,90,44,3.13,RU,1603975613
80,Aswān,24.09,32.91,102.11,8,0,14.18,EG,1603975613
81,Bredasdorp,-34.53,20.04,66.2,45,40,23.04,ZA,1603975613
82,Nanortalik,60.14,-45.24,32.83,92,100,6.33,GL,1603975613
83,Ruston,32.52,-92.64,41.0,93,40,3.36,US,1603975613
84,Kaitangata,-46.28,169.85,53.01,94,94,5.64,NZ,1603975613
85,Inhambane,-23.86,35.38,80.65,65,1,11.95,MZ,1603975614
86,Vila Franca do Campo,37.72,-25.43,69.8,88,40,16.11,PT,1603975614
87,Maceió,-9.67,-35.74,82.4,65,75,11.41,BR,1603975532
88,Katsuura,35.13,140.3,62.6,42,75,12.75,JP,1603975614
89,Khovd,48.01,91.64,34.59,67,0,13.38,MN,1603975614
90,Mareeba,-17.0,145.43,77.0,83,40,1.12,AU,1603975614
91,Port Elizabeth,-33.92,25.57,68.0,72,20,20.8,ZA,1603975615
92,Mandera,3.94,41.87,88.65,46,92,10.87,KE,1603975615
93,Sijunjung,-0.69,100.95,75.6,87,100,1.63,ID,1603975615
94,Esperance,-33.87,121.9,55.4,76,0,16.11,AU,1603975615
95,Malé,4.17,73.51,82.83,77,100,12.75,MV,1603975576
96,Laas,46.62,10.7,57.0,86,75,5.82,IT,1603975615
97,Dubbo,-32.25,148.62,53.6,81,48,4.7,AU,1603975616
98,Zheleznodorozhnyy,55.75,38.0,46.4,81,75,8.95,RU,1603975616
99,Ayan,56.45,138.17,31.14,98,100,13.47,RU,1603975616
100,Gamba,-2.65,10.0,82.24,72,4,10.16,GA,1603975616
101,Qandala,11.47,49.87,83.12,65,8,5.84,SO,1603975616
102,Sosnovo-Ozerskoye,52.52,111.54,27.46,92,2,7.34,RU,1603975616
103,Jacareacanga,-6.22,-57.75,84.2,83,0,2.24,BR,1603975616
104,Jamestown,42.1,-79.24,43.0,100,90,5.82,US,1603975351
105,Itoman,26.12,127.67,77.0,69,75,9.17,JP,1603975617
106,George Town,5.41,100.34,82.4,83,20,5.39,MY,1603975617
107,Port Hardy,50.7,-127.42,51.8,100,90,5.82,CA,1603975617
108,Faanui,-16.48,-151.75,79.66,76,42,9.26,PF,1603975617
109,Biltine,14.53,20.92,98.22,13,65,4.43,TD,1603975617
110,Arman',59.7,150.17,28.67,92,84,3.42,RU,1603975618
111,Kyabram,-36.32,145.05,55.78,81,95,7.49,AU,1603975618
112,Busselton,-33.65,115.33,64.0,30,0,11.25,AU,1603975618
113,Umba,66.69,34.34,43.93,82,100,16.13,RU,1603975618
114,Arlit,18.74,7.39,93.6,9,0,7.54,NE,1603975618
115,Klyuchi,52.27,79.17,32.09,98,100,14.25,RU,1603975618
116,Makakilo City,21.35,-158.09,73.4,94,90,2.24,US,1603975453
117,Hithadhoo,-0.6,73.08,83.73,75,0,12.91,MV,1603975618
118,Maebaru-chūō,33.55,130.2,64.0,67,75,3.36,JP,1603975619
119,Dumbéa,-22.15,166.45,75.2,60,0,8.05,NC,1603975619
120,Hong Kong,22.29,114.16,75.0,77,98,7.0,HK,1603975321
121,Morecambe,54.07,-2.86,55.0,100,100,15.99,GB,1603975619
122,San Rafael,-34.62,-68.33,59.09,32,100,7.72,AR,1603975619
123,Båtsfjord,70.63,29.72,37.4,86,75,11.41,NO,1603975619
124,Tubualá,9.52,-79.03,78.01,94,40,5.82,PA,1603975620
125,Kruisfontein,-34.0,24.73,66.0,73,100,11.01,ZA,1603975620
126,Mount Isa,-20.73,139.5,66.2,22,0,1.97,AU,1603975620
127,Saint Anthony,45.02,-93.22,33.8,64,90,11.41,US,1603975620
128,Nurota,40.56,65.69,60.8,21,0,4.7,UZ,1603975620
129,Dunedin,-45.87,170.5,53.01,94,61,10.25,NZ,1603975620
130,Dikson,73.51,80.55,2.37,85,36,17.92,RU,1603975620
131,Cabo San Lucas,22.89,-109.91,72.0,71,100,3.0,MX,1603975600
132,Itarema,-2.92,-39.92,87.53,52,54,18.72,BR,1603975621
133,Flinders,-34.58,150.86,59.0,85,18,6.71,AU,1603975621
134,Saint George,37.1,-113.58,48.2,26,1,3.36,US,1603975506
135,Aksu,41.12,80.26,50.97,44,100,3.49,CN,1603975621
136,New Norfolk,-42.78,147.06,55.4,71,75,4.7,AU,1603975621
137,Saint-Philippe,-21.36,55.77,75.2,57,90,21.92,RE,1603975621
138,Tuatapere,-46.13,167.68,53.01,91,0,3.0,NZ,1603975621
139,Kirensk,57.79,108.11,30.25,95,99,5.86,RU,1603975622
140,Mezen',65.85,44.24,42.67,88,100,13.62,RU,1603975622
141,Jerantut,3.94,102.36,76.77,89,100,2.3,MY,1603975622
142,Emerald,-23.53,148.17,68.0,45,0,8.05,AU,1603975622
143,Chokurdakh,70.63,147.92,-3.21,90,45,6.15,RU,1603975622
144,Monster,52.03,4.17,55.0,82,100,5.01,NL,1603975623
145,Marsá Maţrūḩ,31.35,27.25,77.0,44,20,11.41,EG,1603975623
146,Saldanha,-33.01,17.94,64.4,48,3,12.75,ZA,1603975623
147,Kromy,52.69,35.77,48.04,58,0,7.94,RU,1603975623
148,City of San Pedro,14.35,121.02,82.0,94,40,2.24,PH,1603975623
149,Honningsvåg,70.98,25.97,35.6,93,75,18.34,NO,1603975623
150,Bunia,1.57,30.25,71.06,81,69,3.44,CD,1603975623
151,Anadyr,64.75,177.48,6.8,84,0,6.71,RU,1603975623
152,Tuktoyaktuk,69.45,-133.04,9.9,96,99,7.29,CA,1603975624
153,Mitsamiouli,-11.38,43.28,80.56,73,14,5.91,KM,1603975624
154,Husavik,66.04,-17.34,42.8,70,75,5.82,IS,1603975624
155,İmamoğlu,37.27,35.66,87.8,31,20,4.7,TR,1603975624
156,Japura,-0.32,102.35,77.05,91,3,3.58,ID,1603975624
157,Nikolskoye,59.7,30.79,51.8,81,75,4.47,RU,1603975624
158,Batouri,4.43,14.37,75.72,86,81,4.43,CM,1603975624
159,Pucara,-15.98,-71.46,43.21,33,64,2.28,PE,1603975624
160,Harper,4.38,-7.72,81.28,82,54,8.25,LR,1603975625
161,Hilo,19.73,-155.09,73.4,73,1,4.7,US,1603975625
162,Kapaa,22.08,-159.32,66.2,100,1,5.82,US,1603975625
163,Roald,62.58,6.13,48.2,87,40,8.05,NO,1603975625
164,Daru,-9.08,143.21,77.95,84,21,3.94,PG,1603975625
165,Nabire,-3.37,135.48,77.79,87,100,2.33,ID,1603975625
166,Palana,59.12,159.97,30.11,93,0,6.38,RU,1603975625
167,Gizo Government Station,-8.1,156.84,81.46,74,100,3.67,SB,1603975626
168,Levice,48.22,18.61,55.0,100,90,1.12,SK,1603975626
169,El Tocuyo,9.79,-69.79,73.4,78,100,6.93,VE,1603975626
170,Ponta Delgada,37.73,-25.67,69.8,88,40,16.11,PT,1603975626
171,Oddur,4.12,43.89,81.97,63,84,9.78,SO,1603975626
172,Saint-Joseph,-21.37,55.62,75.2,57,90,21.92,RE,1603975626
173,Claremore,36.31,-95.62,42.01,94,100,5.99,US,1603975626
174,Offenburg,48.48,7.93,55.99,76,75,12.75,DE,1603975626
175,Matam,15.62,-13.33,101.44,8,1,11.56,SN,1603975627
176,Vardø,70.37,31.11,33.8,86,0,8.05,NO,1603975627
177,Tarakan,3.3,117.63,77.02,86,98,6.67,ID,1603975412
178,Crixás,-14.55,-49.97,81.48,64,100,5.68,BR,1603975627
179,Khani,41.96,42.96,84.2,26,0,10.29,GE,1603975627
180,Carutapera,-1.2,-46.02,87.71,58,0,10.51,BR,1603975627
181,Barbacena,-21.23,-43.77,78.8,57,0,9.17,BR,1603975627
182,Kalianget,-7.05,113.93,84.6,71,0,11.59,ID,1603975627
183,Havre-St-Pierre,50.23,-63.6,30.2,92,90,9.42,CA,1603975628
184,Kualakapuas,-3.01,114.39,78.04,88,77,0.76,ID,1603975628
185,Birao,10.28,22.79,97.5,21,0,7.9,CF,1603975628
186,Genhe,50.78,121.52,24.96,91,100,2.66,CN,1603975628
187,Coyhaique,-45.58,-72.07,48.2,57,20,4.7,CL,1603975365
188,Nizhniy Tsasuchey,50.52,115.13,32.92,81,100,1.68,RU,1603975629
189,Windhoek,-22.56,17.08,86.0,20,40,16.11,NA,1603975629
190,Nemuro,43.32,145.57,48.13,79,0,12.48,JP,1603975629
191,Eureka,40.8,-124.16,46.4,93,1,3.33,US,1603975629
192,Yumen,40.28,97.2,43.23,57,97,13.11,CN,1603975629
193,Aras,42.56,-2.36,66.2,48,0,1.12,ES,1603975629
194,Suez,29.97,32.53,89.64,38,2,13.96,EG,1603975584
195,Naze,28.37,129.48,75.2,60,74,6.93,JP,1603975630
196,Boa Vista,2.82,-60.67,82.4,74,40,6.93,BR,1603975630
197,Sechura,-5.56,-80.82,66.45,77,99,11.68,PE,1603975630
198,Beringovskiy,63.05,179.32,25.05,87,0,8.19,RU,1603975630
199,Bonavista,48.65,-53.11,33.01,92,100,2.24,CA,1603975630
200,Isangel,-19.55,169.27,74.14,80,2,9.46,VU,1603975630
201,Ascension,30.22,-90.9,53.6,81,1,4.7,US,1603975631
202,Ilulissat,69.22,-51.1,15.8,78,40,6.93,GL,1603975631
203,Stann Creek Town,16.97,-88.23,81.0,94,40,2.24,BZ,1603975631
204,Yar-Sale,66.83,70.83,12.09,96,100,9.33,RU,1603975631
205,Matagami,49.75,-77.63,15.8,85,75,8.05,CA,1603975631
206,Burgersdorp,-31.0,26.33,72.41,41,100,18.61,ZA,1603975631
207,Mugur-Aksy,50.35,90.5,19.74,87,90,6.58,RU,1603975632
208,Sierra Vista,31.55,-110.3,43.0,41,1,5.82,US,1603975632
209,Winslow,35.02,-110.7,30.2,86,1,3.36,US,1603975632
210,Baghlan,36.13,68.71,45.5,46,0,2.51,AF,1603975632
211,Machalí,-34.18,-70.67,53.6,62,0,3.96,CL,1603975632
212,Arraial do Cabo,-22.97,-42.03,86.0,74,40,5.82,BR,1603975632
213,Greymouth,-42.47,171.2,56.28,97,100,7.07,NZ,1603975632
214,La Rioja,42.25,-2.5,66.2,48,0,1.12,ES,1603975633
215,Bowen,-20.02,148.23,73.4,88,0,3.36,AU,1603975633
216,Caravelas,-17.71,-39.25,84.25,67,76,12.21,BR,1603975633
217,Airai,-8.93,125.41,62.78,100,13,1.88,TL,1603975633
218,East London,-33.02,27.91,68.0,94,20,2.24,ZA,1603975633
219,Los Llanos de Aridane,28.66,-17.92,75.2,60,75,5.82,ES,1603975633
220,Sobolevo,54.43,31.9,47.88,86,96,10.22,RU,1603975634
221,Bethel,41.37,-73.41,48.2,93,90,3.18,US,1603975634
222,Tarancón,40.01,-3.01,59.0,67,75,2.24,ES,1603975634
223,Geraldton,-28.77,114.6,77.0,53,40,8.05,AU,1603975634
224,Lázaro Cárdenas,17.96,-102.2,75.38,86,21,4.41,MX,1603975634
225,Shestakovo,56.49,103.96,28.02,96,90,5.39,RU,1603975634
226,Progreso,21.28,-89.67,77.0,94,75,2.35,MX,1603975634
227,Huarmey,-10.07,-78.15,65.53,76,24,5.01,PE,1603975635
228,Port Augusta,-32.5,137.77,59.0,77,90,20.8,AU,1603975635
229,El Doncello,1.68,-75.28,80.67,67,100,0.18,CO,1603975635
230,Kuching,1.55,110.33,80.6,88,20,1.12,MY,1603975388
231,Vallenar,-28.57,-70.76,69.62,43,0,5.3,CL,1603975635
232,Kroya,-7.63,109.25,79.29,88,98,5.35,ID,1603975635
233,Lüderitz,-26.65,15.16,67.84,59,100,30.51,NA,1603975635
234,Baoding,38.85,115.49,50.54,44,0,4.9,CN,1603975635
235,Hasaki,35.73,140.83,60.8,63,75,10.29,JP,1603975636
236,Haines Junction,60.75,-137.51,28.4,74,100,2.24,CA,1603975636
237,Constitución,-35.33,-72.42,55.27,53,0,5.88,CL,1603975636
238,Porto Seguro,-16.45,-39.06,78.8,83,75,10.29,BR,1603975636
239,São Francisco,-15.95,-44.86,84.76,62,100,5.26,BR,1603975636
240,Fairbanks,64.84,-147.72,19.4,92,90,3.36,US,1603975636
241,São Filipe,14.9,-24.5,83.68,62,0,7.4,CV,1603975637
242,Port Blair,11.67,92.75,81.32,80,100,7.76,IN,1603975637
243,Bouna,9.27,-3.0,95.59,24,10,4.32,CI,1603975637
244,Srednekolymsk,67.45,153.68,3.7,93,100,2.17,RU,1603975637
245,Okha,53.57,142.95,35.65,88,80,6.93,RU,1603975637
246,Kahului,20.89,-156.47,75.2,83,90,6.93,US,1603975637
247,Kefamenanu,-9.45,124.48,75.81,80,19,0.96,ID,1603975638
248,Upernavik,72.79,-56.15,17.94,85,97,7.7,GL,1603975638
249,Sisimiut,66.94,-53.67,19.63,91,96,6.44,GL,1603975638
250,Moses Lake,47.13,-119.28,39.2,80,1,3.36,US,1603975638
251,Bestöbe,52.5,73.1,35.29,83,98,18.34,KZ,1603975638
252,Klaksvík,62.23,-6.59,48.2,100,58,11.41,FO,1603975638
253,Pevek,69.7,170.31,18.37,93,100,9.06,RU,1603975638
254,Maragogi,-9.01,-35.22,82.76,64,20,11.56,BR,1603975638
255,Mahon,39.89,4.27,69.8,52,20,5.82,ES,1603975638
256,Samarai,-10.62,150.67,80.1,80,94,5.61,PG,1603975639
257,Plyussa,58.43,29.37,51.51,93,100,6.06,RU,1603975639
258,Pestovo,58.59,35.8,48.07,85,100,7.9,RU,1603975639
259,Yeniseysk,58.45,92.17,20.7,95,100,7.85,RU,1603975639
260,Codrington,-38.27,141.97,50.61,87,89,5.06,AU,1603975639
261,Yangi Marg`ilon,40.43,71.72,51.8,29,0,4.7,UZ,1603975640
262,Tahe,52.33,124.73,26.06,91,100,2.59,CN,1603975640
263,Sampit,-2.53,112.95,76.57,92,36,1.61,ID,1603975365
264,Chui,-33.7,-53.46,63.03,55,0,12.08,UY,1603975640
265,Brae,60.4,-1.35,51.8,81,20,9.17,GB,1603975640
266,Atbasar,51.8,68.33,35.04,86,79,13.87,KZ,1603975640
267,La Santisima Trinidad,-14.83,-64.9,77.0,94,90,4.7,BO,1603975379
268,Coquimbo,-29.95,-71.34,55.4,82,20,2.24,CL,1603975641
269,Kaeo,-35.1,173.78,61.0,94,100,4.36,NZ,1603975641
270,Chara,56.91,118.26,12.36,90,89,0.81,RU,1603975641
271,Grindavik,63.84,-22.43,44.6,81,75,31.09,IS,1603975641
272,Mayo,38.89,-76.51,59.0,100,90,8.19,US,1603975517
273,Moshi,-3.35,37.33,84.2,42,75,11.41,TZ,1603975641
274,Plettenberg Bay,-34.05,23.37,61.02,75,100,15.99,ZA,1603975641
275,Bay-Khaak,51.17,94.5,29.34,97,100,3.42,RU,1603975641
276,Camacha,33.08,-16.33,73.4,60,75,10.29,PT,1603975642
277,Zharkent,44.16,80.0,39.36,64,6,5.95,KZ,1603975642
278,Cidreira,-30.18,-50.21,65.08,77,100,13.33,BR,1603975642
279,Bambous Virieux,-20.34,57.76,72.0,73,51,11.99,MU,1603975642
280,Olafsvik,64.89,-23.71,44.46,70,100,26.28,IS,1603975642
281,Asău,46.43,26.4,60.01,70,99,1.01,RO,1603975642
282,Phan Thiet,10.93,108.1,77.47,85,50,4.34,VN,1603975642
283,Dalbandin,28.89,64.41,66.67,22,0,4.38,PK,1603975643
284,Magaria,13.0,8.91,97.16,12,0,9.57,NE,1603975643
285,Hukuntsi,-24.0,21.75,92.19,13,0,5.01,BW,1603975643
286,Akdepe,42.06,59.38,53.6,34,0,18.34,TM,1603975643
287,Ekibastuz,51.67,75.37,35.91,81,100,18.7,KZ,1603975643
288,Cherskiy,68.75,161.3,7.41,91,100,3.24,RU,1603975643
289,Montepuez,-13.13,39.0,81.9,48,17,12.66,MZ,1603975643
290,Nantucket,41.28,-70.1,52.0,71,90,4.7,US,1603975643
291,Jardim,-21.48,-56.14,73.2,91,96,4.18,BR,1603975643
292,Palu,-0.89,119.87,76.32,81,86,1.54,ID,1603975643
293,Wuda,39.5,106.71,49.87,47,0,20.8,CN,1603975644
294,San Quintín,30.48,-115.95,58.46,49,100,1.3,MX,1603975644
295,Garhi Khairo,28.06,67.98,79.86,14,0,6.2,PK,1603975644
296,Byron Bay,-28.65,153.62,62.6,93,90,4.7,AU,1603975644
297,Vostok,46.49,135.88,29.44,100,100,3.15,RU,1603975644
298,Bengkulu,-3.8,102.27,78.91,82,100,4.18,ID,1603975644
299,Parbhani,19.27,76.78,75.51,49,0,3.44,IN,1603975644
300,Lahaina,20.88,-156.68,75.2,83,90,6.93,US,1603975645
301,Winnemucca,40.97,-117.74,19.4,48,1,4.7,US,1603975645
302,Araouane,18.9,-3.53,96.35,9,0,11.52,ML,1603975645
303,Fortuna,40.6,-124.16,46.4,75,1,10.29,US,1603975645
304,Ukiah,39.15,-123.21,55.0,80,1,2.37,US,1603975639
305,Clyde River,70.47,-68.59,21.2,85,90,17.22,CA,1603975645
306,Grand-Lahou,5.14,-5.02,82.96,73,37,6.46,CI,1603975645
307,Prince Rupert,54.32,-130.32,41.0,93,1,5.82,CA,1603975401
308,Borogontsy,62.67,131.17,-4.38,92,87,4.27,RU,1603975646
309,Rio Bananal,-19.27,-40.33,83.07,73,96,8.46,BR,1603975646
310,Bismarck,46.81,-100.78,23.0,92,1,8.05,US,1603975646
311,Buala,-8.14,159.59,79.12,85,100,6.51,SB,1603975646
312,Nikki,9.94,3.21,93.67,23,99,5.88,BJ,1603975646
313,High Rock,26.62,-78.28,78.8,88,20,3.36,BS,1603975647
314,Vrangel',42.73,133.08,41.05,66,0,16.6,RU,1603975647
315,Srandakan,-7.94,110.25,79.36,86,95,5.41,ID,1603975647
316,Collie,-33.37,116.15,64.0,30,0,8.28,AU,1603975647
317,Mandurah,-32.55,115.7,69.01,76,0,9.4,AU,1603975647
318,Karasjok,69.47,25.51,35.6,80,75,23.04,NO,1603975647
319,Xichang,27.9,102.26,62.02,76,1,3.4,CN,1603975647
320,Ahipara,-35.17,173.17,59.76,88,100,6.71,NZ,1603975647
321,Ulladulla,-35.35,150.47,57.2,100,40,4.7,AU,1603975648
322,Monrovia,6.3,-10.8,89.6,66,75,7.07,LR,1603975648
323,Quatre Cocos,-20.21,57.76,72.0,73,63,11.99,MU,1603975648
324,Jiangkou,25.49,119.2,69.8,73,75,13.42,CN,1603975499
325,Rock Sound,24.9,-76.2,81.82,79,0,14.88,BS,1603975648
326,Arrondissement de Montbrison,45.67,4.08,59.0,67,90,2.24,FR,1603975648
327,Kamenka,51.32,42.77,48.0,45,97,12.15,RU,1603975648
328,Bud,39.45,-86.18,45.0,93,90,18.34,US,1603975649
329,Mariehamn,60.1,19.93,51.8,87,75,12.75,AX,1603975649
330,Opuwo,-18.06,13.84,96.19,12,0,5.08,NA,1603975649
331,Ampanihy,-24.7,44.75,89.53,34,10,18.9,MG,1603975649
332,Luanda,-8.84,13.23,82.4,74,40,5.82,AO,1603975649
333,Nouadhibou,20.93,-17.03,80.6,47,0,20.8,MR,1603975649
334,Kushima,31.46,131.23,68.0,82,75,3.36,JP,1603975649
335,Touros,-5.2,-35.46,84.2,62,75,13.87,BR,1603975649
336,Ajdabiya,30.76,20.23,74.52,44,0,16.35,LY,1603975650
337,Jashpurnagar,22.9,84.15,64.89,55,0,6.44,IN,1603975650
338,Charters Towers,-20.1,146.27,74.64,19,0,4.94,AU,1603975650
339,Barreiros,-8.82,-35.19,84.6,57,6,10.71,BR,1603975650
340,Kouroussa,10.65,-9.88,93.2,29,48,2.39,GN,1603975650
341,Mehamn,71.04,27.85,35.6,93,90,20.8,NO,1603975650
342,Vila Velha,-20.33,-40.29,84.2,74,40,13.87,BR,1603975650
343,Cuenca,-2.88,-78.98,53.6,87,100,3.36,EC,1603975585
344,Padang,-0.95,100.35,79.52,75,100,2.01,ID,1603975651
345,Acaraú,-2.89,-40.12,88.12,51,56,18.68,BR,1603975651
346,Half Moon Bay,37.46,-122.43,57.0,66,20,2.17,US,1603975651
347,Okahandja,-21.98,16.92,86.74,24,98,10.78,NA,1603975651
348,Praia,14.92,-23.51,87.8,58,0,17.22,CV,1603975651
349,Aban,56.67,96.06,27.03,91,80,10.56,RU,1603975651
350,Bambanglipuro,-7.95,110.28,79.36,86,97,5.55,ID,1603975651
351,Ngaoundéré,7.32,13.58,84.2,39,40,9.17,CM,1603975651
352,Torbay,47.67,-52.73,36.0,86,90,2.24,CA,1603975627
353,Marawi,8.0,124.29,79.0,89,0,4.0,PH,1603975652
354,Kloulklubed,7.04,134.26,78.8,88,75,8.55,PW,1603975652
355,Tessalit,20.2,1.01,94.3,10,0,4.97,ML,1603975652
356,Mettur,11.8,77.8,76.8,68,91,4.52,IN,1603975652
357,Myanaung,18.28,95.32,79.48,86,100,4.29,MM,1603975652
358,Härnösand,62.63,17.94,46.4,87,17,11.41,SE,1603975653
359,Glamoč,44.05,16.85,45.0,73,100,5.01,BA,1603975653
360,Mandan,46.83,-100.89,23.0,100,20,6.93,US,1603975653
361,Alofi,-19.06,-169.92,68.0,77,1,9.17,NU,1603975653
362,Te Anau,-45.42,167.72,51.94,92,85,0.81,NZ,1603975653
363,Atar,20.52,-13.05,94.3,10,0,10.33,MR,1603975653
364,Mehrān,33.12,46.16,78.8,12,0,9.17,IR,1603975654
365,Aklavik,68.22,-135.01,17.6,92,100,4.7,CA,1603975654
366,Doka,13.52,35.77,97.16,21,0,1.48,SD,1603975654
367,Krishnagiri,12.53,78.23,73.2,80,100,5.93,IN,1603975654
368,El Copé,8.62,-80.6,73.4,100,20,4.7,PA,1603975654
369,Sant Feliu de Guíxols,41.78,3.03,68.0,76,39,8.14,ES,1603975526
370,São Lourenço do Sul,-31.37,-51.98,63.0,79,100,7.0,BR,1603975655
371,Raychikhinsk,49.78,129.41,28.81,96,0,6.29,RU,1603975655
372,Guerrero Negro,27.98,-114.06,57.78,57,1,0.13,MX,1603975389
373,Santa Cruz,30.42,-9.6,93.2,13,0,11.41,MA,1603975655
